"","CRSE_ID","CRSE","PROF_ID","BLOCK","BLOCK_IND","SCHD_1","SCHD_2","SCHD_3","SCHD_4","SCHD_5","SCHD_6","SCHD_7","SCHD_8","SCHD_9","SCHD_10","SCHD_11","SCHD_12","SCHD_13","SCHD_14","SCHD_15","SCHD_16","SCHD_17","SCHD_18","SCHD_19","SCHD_20","SCHD_21","SCHD_22","SCHD_23","SCHD_24","SCHD_25","SCHD_26","SCHD_27","SCHD_28","SCHD_29","SCHD_30","SCHD_31","SCHD_32","SCHD_33","SCHD_34","SCHD_35","SCHD_36","SCHD_37","SCHD_38","SCHD_39","SCHD_40","SCHD_41","SCHD_42","SCHD_43","SCHD_44","SCHD_45","SCHD_46","SCHD_47","SCHD_48","SCHD_49","SCHD_50","SCHD_51","SCHD_52","SCHD_53","SCHD_54","SCHD_55","SCHD_56","SCHD_57","SCHD_58","SCHD_59","SCHD_60","SCHD_61","SCHD_62","SCHD_63","SCHD_64","SCHD_65","SCHD_66","SCHD_67","SCHD_68","SCHD_69","SCHD_70","SCHD_71","SCHD_72","SCHD_73","SCHD_74","SCHD_75","SCHD_76","SCHD_77","SCHD_78","SCHD_79","SCHD_80","SCHD_81","SCHD_82","SCHD_83","SCHD_84","SCHD_85","SCHD_86","SCHD_87","SCHD_88","SCHD_89","SCHD_90","SCHD_91","SCHD_92","SCHD_93","SCHD_94","SCHD_95","SCHD_96","SCHD_97","SCHD_98","SCHD_99","SCHD_100"
"C_001_FALL_1","C_001","AN_201","P_001","FALL_1",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
"C_001_FALL_2","C_001","AN_201","P_001","FALL_2",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"C_001_FALL_3","C_001","AN_201","P_001","FALL_3",1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0
"C_001_FALL_4","C_001","AN_201","P_001","FALL_4",1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"C_002_FALL_1","C_002","AN_201","P_002","FALL_1",1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C_002_FALL_2","C_002","AN_201","P_002","FALL_2",1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1
"C_002_FALL_3","C_002","AN_201","P_002","FALL_3",1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"C_002_FALL_4","C_002","AN_201","P_002","FALL_4",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1,0
"C_003_FALL_1","C_003","AR_101","P_003","FALL_1",1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,0,1
"C_003_FALL_2","C_003","AR_101","P_003","FALL_2",1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
